contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expirationDate,optionType
SPY250722C00609000,2025-07-18,609.0,18.5,18.67,18.82,3.6999998,24.999998,14.0,38,0.2475661181640625,True,REGULAR,USD,2025-07-22,CALL
SPY250722C00610000,2025-07-18,610.0,17.13,17.69,17.83,-1.0600014,-5.827385,8.0,87,0.2387771435546875,True,REGULAR,USD,2025-07-22,CALL
SPY250722C00611000,2025-07-18,611.0,16.13,16.7,16.84,2.7199993,20.283365,6.0,14,0.22974403076171873,True,REGULAR,USD,2025-07-22,CALL
SPY250722C00612000,2025-07-18,612.0,15.71,15.7,15.84,-0.8000002,-4.845549,15.0,58,0.21851367431640623,True,REGULAR,USD,2025-07-22,CALL
SPY250722C00614000,2025-07-18,614.0,13.62,13.73,13.88,-0.8000002,-5.5478516,104.0,167,0.20264469238281246,True,REGULAR,USD,2025-07-22,CALL
SPY250722C00615000,2025-07-18,615.0,12.85,12.75,12.9,0.20000076,1.5810337,44.0,108,0.19385571777343752,True,REGULAR,USD,2025-07-22,CALL
SPY250722C00616000,2025-07-18,616.0,11.89,11.78,11.92,-0.8899994,-6.9640017,120.0,123,0.1848226049804687,True,REGULAR,USD,2025-07-22,CALL
SPY250722C00617000,2025-07-18,617.0,11.09,10.82,10.96,-0.7699995,-6.492408,20.0,88,0.17774259765625,True,REGULAR,USD,2025-07-22,CALL
SPY250722C00618000,2025-07-18,618.0,9.89,9.87,10.0,-1.0499992,-9.5978,58.0,92,0.16993017578125003,True,REGULAR,USD,2025-07-22,CALL
SPY250722C00619000,2025-07-18,619.0,9.1,8.92,9.05,-0.8899994,-8.908903,33.0,177,0.16236189208984375,True,REGULAR,USD,2025-07-22,CALL
SPY250722C00620000,2025-07-18,620.0,8.03,8.02,8.12,-1.2200003,-13.189192,151.0,389,0.1557701611328125,True,REGULAR,USD,2025-07-22,CALL
