contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expirationDate,optionType
SPY250722P00635000,2025-07-18,635.0,8.0,7.39,7.52,0.86000013,12.04482,23.0,23,0.0976652734375,True,REGULAR,USD,2025-07-22,PUT
SPY250722P00636000,2025-07-18,636.0,8.43,8.39,8.52,0.27000046,3.3088293,7.0,58,0.1079190771484375,True,REGULAR,USD,2025-07-22,PUT
SPY250722P00638000,2025-07-17,638.0,10.11,9.4,11.5,0.0,0.0,21.0,1,0.24048611083984373,True,REGULAR,USD,2025-07-22,PUT
SPY250722P00640000,2025-07-18,640.0,12.85,11.42,13.5,-4.0,-23.73887,4.0,8,0.2688061401367187,True,REGULAR,USD,2025-07-22,PUT
SPY250723P00475000,2025-07-16,475.0,0.01,0.0,0.01,0.0,0.0,200.0,201,0.9062509375,False,REGULAR,USD,2025-07-23,PUT
SPY250723P00495000,2025-07-16,495.0,0.02,0.0,0.01,0.0,0.0,25.0,93,0.7812521875,False,REGULAR,USD,2025-07-23,PUT
SPY250723P00500000,2025-07-15,500.0,0.01,0.0,0.01,0.0,0.0,200.0,101,0.7500025,False,REGULAR,USD,2025-07-23,PUT
SPY250723P00515000,2025-07-16,515.0,0.04,0.0,0.01,0.0,0.0,33.0,36,0.6718782812500002,False,REGULAR,USD,2025-07-23,PUT
SPY250723P00545000,2025-07-17,545.0,0.03,0.01,0.02,0.0,0.0,1800.0,122,0.5351608984375,False,REGULAR,USD,2025-07-23,PUT
SPY250723P00550000,2025-07-18,550.0,0.01,0.01,0.02,-0.03,-75.0,531.0,32,0.5039112109375,False,REGULAR,USD,2025-07-23,PUT
SPY250723P00555000,2025-07-18,555.0,0.02,0.01,0.02,-0.030000001,-60.000004,3054.0,453,0.48438015625,False,REGULAR,USD,2025-07-23,PUT
SPY250723P00560000,2025-07-18,560.0,0.02,0.01,0.02,-0.01,-33.333336,1510.0,2028,0.45313046875,False,REGULAR,USD,2025-07-23,PUT
SPY250723P00565000,2025-07-18,565.0,0.03,0.02,0.03,-0.03,-50.0,63.0,74,0.437505625,False,REGULAR,USD,2025-07-23,PUT
SPY250723P00570000,2025-07-18,570.0,0.02,0.02,0.03,-0.02,-50.0,256.0,194,0.4062559375,False,REGULAR,USD,2025-07-23,PUT
